"","variable","est","se","t","p","study","dv","level","stat","model","formula","data","lb","ub","print"
"72","0. Wave",-3.01594396012379,0.650568112909153,-4.63586194939275,4.08440766236521e-06,2,"Social Distance","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_sd_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-4.52939170650876,-1.50249621373882,"(B=-3.016; SE=0.651; CI95%=[-4.529,-1.502])"
"73","7. Centrist News",-0.0322905499399172,0.0719426803775496,-0.448837182190862,0.653674424315319,2,"No Understanding","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_under_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.199654251489029,0.135073151609195,"(B=-0.032; SE=0.072; CI95%=[-0.2,0.135])"
"74","8. Liberal News",0.098629695219506,0.122797974837979,0.803186659630493,0.422112794092943,2,"No Understanding","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_under_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.187041112481348,0.38430050292036,"(B=0.099; SE=0.123; CI95%=[-0.187,0.384])"
"75","6. Conservative News",0.0767549798153796,0.0501847796747886,1.52944738051603,0.126561087311948,2,"No Understanding","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_under_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.0399922756902729,0.193502235321032,"(B=0.077; SE=0.05; CI95%=[-0.04,0.194])"
"76","5. Congenial News",0.0579848763214798,0.0745891918571936,0.777389791707304,0.43716545163398,2,"No Understanding","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 2",-0.115535531581927,0.231505284224886,"(B=0.058; SE=0.075; CI95%=[-0.116,0.232])"
"77","4. Cross-Cutting News",0.078013919502997,0.0558472143692235,1.39691693460702,0.162837377080609,2,"No Understanding","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 2",-0.0519061289159491,0.207933967921943,"(B=0.078; SE=0.056; CI95%=[-0.052,0.208])"
"78","0. Intercept",41.7537085325577,2.15876774798721,19.3414546662039,2.60993776753229e-68,2,"No Understanding","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",36.7316637714797,46.7757532936357,"(B=41.754; SE=2.159; CI95%=[36.732,46.776])"
"79","5. Congenial News",-0.202406054958112,0.212911756992228,-0.950657013109427,0.342075266482193,2,"No Understanding","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.697712868195282,0.292900758279058,"(B=-0.202; SE=0.213; CI95%=[-0.698,0.293])"
"80","4. Cross-Cutting News",-0.0534647873075054,0.159132367321822,-0.335976823617415,0.736979399675209,2,"No Understanding","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.423662031717712,0.316732457102701,"(B=-0.053; SE=0.159; CI95%=[-0.424,0.317])"
"81","3. Partisanship Strength",3.51362517605208,0.916325516363969,3.83447269917173,0.00013604981638542,2,"No Understanding","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",1.38193325912938,5.64531709297477,"(B=3.514; SE=0.916; CI95%=[1.382,5.645])"
"82","2. Congenial × Partisan",0.10405245995064,0.0947574060518215,1.09809316533776,0.272505285531849,2,"No Understanding","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.116386230167639,0.32449115006892,"(B=0.104; SE=0.095; CI95%=[-0.116,0.324])"
"83","1. Cross-Cutting × Partisan",0.0372525630815853,0.0680530459241956,0.547404786599574,0.584258470549666,2,"No Understanding","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.121062495626171,0.195567621789341,"(B=0.037; SE=0.068; CI95%=[-0.121,0.196])"
"84","0. Wave",2.96266546739907,0.668081835285936,4.43458467349447,1.05599800135431e-05,2,"No Understanding","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",1.40847471019633,4.51685622460181,"(B=2.963; SE=0.668; CI95%=[1.408,4.517])"
"85","7. Centrist News",-0.00653892912672165,0.0620912873537594,-0.105311540562313,0.916155820674481,2,"No Understanding","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_under_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.150984863458599,0.137907005205156,"(B=-0.007; SE=0.062; CI95%=[-0.151,0.138])"
"86","8. Liberal News",0.0802958388552777,0.130481313900068,0.615381899946028,0.538482968911553,2,"No Understanding","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_under_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.2232490883382,0.383840766048756,"(B=0.08; SE=0.13; CI95%=[-0.223,0.384])"
"87","6. Conservative News",0.0814643607194077,0.0568018173740185,1.43418581456638,0.151922079296269,2,"No Understanding","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_under_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.0506764263702964,0.213605147809112,"(B=0.081; SE=0.057; CI95%=[-0.051,0.214])"
"88","5. Congenial News",0.0697413569737967,0.0818306251069859,0.852264746635094,0.394329779379849,2,"No Understanding","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 2",-0.120625143775273,0.260107857722866,"(B=0.07; SE=0.082; CI95%=[-0.121,0.26])"
"89","4. Cross-Cutting News",0.103494344425437,0.0623888072995195,1.65886076213279,0.0975474199058905,2,"No Understanding","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 2",-0.0416437247997439,0.248632413650618,"(B=0.103; SE=0.062; CI95%=[-0.042,0.249])"
"90","0. Intercept",41.7037689653011,2.14163394411112,19.4728744751055,4.66941287856838e-69,2,"No Understanding","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",36.7215833924445,46.6859545381577,"(B=41.704; SE=2.142; CI95%=[36.722,46.686])"
"91","5. Congenial News",-0.106868864628666,0.239445064640196,-0.446318928265458,0.655491720674591,2,"No Understanding","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.663901381703957,0.450163652446626,"(B=-0.107; SE=0.239; CI95%=[-0.664,0.45])"
"92","4. Cross-Cutting News",-0.0623112953351725,0.175429640498864,-0.355192515688796,0.722542138954815,2,"No Understanding","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.470421666553453,0.345799075883108,"(B=-0.062; SE=0.175; CI95%=[-0.47,0.346])"
"93","3. Partisanship Strength",3.53765636640497,0.917109943887321,3.85739614970266,0.000124123779972233,2,"No Understanding","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",1.40413959818099,5.67117313462896,"(B=3.538; SE=0.917; CI95%=[1.404,5.671])"
"94","2. Congenial × Partisan",0.0553832396363617,0.107554251850288,0.514933056421177,0.606746817508842,2,"No Understanding","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.194825365499609,0.305591844772332,"(B=0.055; SE=0.108; CI95%=[-0.195,0.306])"
"95","1. Cross-Cutting × Partisan",0.0507894723936433,0.0751630088507464,0.675724311336413,0.499417532384267,2,"No Understanding","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.124065833452804,0.22564477824009,"(B=0.051; SE=0.075; CI95%=[-0.124,0.226])"
"96","0. Wave",2.94331586345601,0.672610808940006,4.37595683021285,1.37480910059563e-05,2,"No Understanding","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_under_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",1.37858913802154,4.50804258889048,"(B=2.943; SE=0.673; CI95%=[1.379,4.508])"
"97","7. Centrist News",-0.020943129700259,0.0640318178319725,-0.327073795643541,0.74370039034423,2,"Stupid","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_stupid_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.169903412984639,0.128017153584121,"(B=-0.021; SE=0.064; CI95%=[-0.17,0.128])"
"98","8. Liberal News",0.138585943415508,0.109202920735563,1.26906810259312,0.204797771633629,2,"Stupid","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_stupid_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.11545803907672,0.392629925907735,"(B=0.139; SE=0.109; CI95%=[-0.115,0.393])"
"99","6. Conservative News",0.0617750721763147,0.0446272293091125,1.38424619078247,0.166681538094042,2,"Stupid","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_stupid_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 2",-0.0420433878512723,0.165593532203902,"(B=0.062; SE=0.045; CI95%=[-0.042,0.166])"
"100","5. Congenial News",0.135409504152141,0.0662875482619961,2.04275927685462,0.0414136888027911,2,"Stupid","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 2",-0.0187983928225333,0.289617401126815,"(B=0.135; SE=0.066; CI95%=[-0.019,0.29])"
"101","4. Cross-Cutting News",0.0228246116013554,0.0496304029658621,0.459891724374173,0.64572276170473,2,"Stupid","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 2",-0.0926329708260681,0.138282194028779,"(B=0.023; SE=0.05; CI95%=[-0.093,0.138])"
"102","0. Intercept",33.517609531227,2.14861008378963,15.5996705889558,6.5772413987668e-48,2,"Stupid","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",28.5191950306603,38.5160240317937,"(B=33.518; SE=2.149; CI95%=[28.519,38.516])"
"103","5. Congenial News",0.101912738545261,0.19163323337863,0.53181140216896,0.595009424040974,2,"Stupid","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.343892826520687,0.547718303611208,"(B=0.102; SE=0.192; CI95%=[-0.344,0.548])"
"104","4. Cross-Cutting News",0.0262784903440569,0.143226540271035,0.183475006059134,0.854473442504817,2,"Stupid","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.30691626712169,0.359473247809804,"(B=0.026; SE=0.143; CI95%=[-0.307,0.359])"
"105","3. Partisanship Strength",6.21672386951917,0.912535980219042,6.81257945360897,1.92653200186248e-11,2,"Stupid","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",4.09384773195083,8.33960000708752,"(B=6.217; SE=0.913; CI95%=[4.094,8.34])"
"106","2. Congenial × Partisan",0.0122723519583045,0.0852935668686217,0.143883676212154,0.885629827182343,2,"Stupid","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.186150155995874,0.210694859912483,"(B=0.012; SE=0.085; CI95%=[-0.186,0.211])"
"107","1. Cross-Cutting × Partisan",-0.00641627759710457,0.0612545715053285,-0.104747734567802,0.916603156150979,2,"Stupid","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.148915719793808,0.136083164599599,"(B=-0.006; SE=0.061; CI95%=[-0.149,0.136])"
"108","0. Wave",0.656984829567041,0.601782132048028,1.09173203154295,0.275291053056694,2,"Stupid","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 2",-0.742969753958654,2.05693941309273,"(B=0.657; SE=0.602; CI95%=[-0.743,2.057])"
"109","7. Centrist News",0.0358990266834184,0.0551908487446125,0.650452520662182,0.51559273707917,2,"Stupid","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_stupid_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.0924940869601204,0.164292140326957,"(B=0.036; SE=0.055; CI95%=[-0.092,0.164])"
"110","8. Liberal News",0.130037864987944,0.115979917485952,1.1212101871317,0.262545693624539,2,"Stupid","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_stupid_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.139771769486933,0.399847499462821,"(B=0.13; SE=0.116; CI95%=[-0.14,0.4])"
"111","6. Conservative News",0.051384567513929,0.0504881110378421,1.01775579354543,0.309111635028729,2,"Stupid","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_stupid_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 2",-0.0660683422632929,0.168837477291151,"(B=0.051; SE=0.05; CI95%=[-0.066,0.169])"
"112","5. Congenial News",0.133544433916354,0.0727825047689241,1.83484251250135,0.0669116655774425,2,"Stupid","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 2",-0.0357729913202,0.302861859152908,"(B=0.134; SE=0.073; CI95%=[-0.036,0.303])"
"113","4. Cross-Cutting News",0.0433422136699147,0.0554901487002225,0.781079429144527,0.434993994513582,2,"Stupid","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 2",-0.085747175789058,0.172431603128888,"(B=0.043; SE=0.055; CI95%=[-0.086,0.172])"
"114","0. Intercept",33.4622633727113,2.13952515334478,15.640042053443,4.06417299903326e-48,2,"Stupid","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",28.4849835807708,38.4395431646519,"(B=33.462; SE=2.14; CI95%=[28.485,38.44])"
"115","5. Congenial News",0.0336950885538004,0.21552928040378,0.156336477766152,0.875808624351001,2,"Stupid","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.467700994707086,0.535091171814687,"(B=0.034; SE=0.216; CI95%=[-0.468,0.535])"
"116","4. Cross-Cutting News",0.0106893496546835,0.157907365864109,0.0676938000718879,0.946046890112118,2,"Stupid","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.356658115218676,0.378036814528043,"(B=0.011; SE=0.158; CI95%=[-0.357,0.378])"
"117","3. Partisanship Strength",6.32143272337725,0.916723394223947,6.89568168894464,1.11378011689263e-11,2,"Stupid","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",4.18881520414087,8.45405024261363,"(B=6.321; SE=0.917; CI95%=[4.189,8.454])"
"118","2. Congenial × Partisan",0.041990790711664,0.0968138715136947,0.433727006834183,0.664607709275499,2,"Stupid","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.183231953461883,0.267213534885211,"(B=0.042; SE=0.097; CI95%=[-0.183,0.267])"
"119","1. Cross-Cutting × Partisan",0.0092540565269568,0.0676568858550265,0.13677922668191,0.891240919332445,2,"Stupid","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.148139396046108,0.166647509100022,"(B=0.009; SE=0.068; CI95%=[-0.148,0.167])"
"120","0. Wave",0.598665883906118,0.605885962057124,0.988083437143036,0.32342096343985,2,"Stupid","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_stupid_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 2",-0.810835635836661,2.0081674036489,"(B=0.599; SE=0.606; CI95%=[-0.811,2.008])"
